topic,n_args,n_atoms,n_pairs,n_acc,acc_pct,density,iso,n_scc,cycles,grounded,n_pref,n_stable,semantics,cross_ratio,rebuttal,undermining,undercutting,runtime,run_id
Autonomous Vehicles,20,20,190,37,19.5,0.1026,3,17,True,10,1,1,grounded+preferred+stable,0.8974,4,34,1,121.226,2026-06-13_1208_autonomous_vehicles_llm
Abortion,14,25,272,20,7.4,0.0417,7,21,True,12,2,2,grounded+preferred+stable,0.48,10,15,0,350.97,2026-06-13_1113_abortion_ukp_seed42
Cloning,14,16,118,34,28.8,0.1667,0,7,True,5,1,1,grounded+preferred+stable,0.9,12,26,2,245.269,2026-06-13_1119_cloning_ukp_seed42
Death Penalty,14,18,148,47,31.8,0.1993,1,6,True,2,3,3,grounded+preferred+stable,0.918,28,32,1,266.724,2026-06-13_1123_death_penalty_ukp_seed42
Gun Control,14,23,244,20,8.2,0.0514,8,16,True,12,3,3,grounded+preferred+stable,1.0,12,14,0,317.25,2026-06-13_1127_gun_control_ukp_seed42
Marijuana Legalization,14,21,199,10,5.0,0.0381,11,15,True,16,2,2,grounded+preferred+stable,1.0,12,4,0,273.237,2026-06-13_1132_marijuana_legalization_ukp_seed42
Minimum Wage,14,22,221,55,24.9,0.1277,2,18,True,6,3,3,grounded+preferred+stable,0.8814,8,37,14,321.213,2026-06-13_1137_minimum_wage_ukp_seed42
Nuclear Energy,14,20,183,35,19.1,0.1053,1,15,True,10,3,3,grounded+preferred+stable,1.0,10,25,5,117.443,2026-06-13_1111_nuclear_energy_ukp_seed42
School Uniforms,14,21,202,28,13.9,0.0786,6,16,True,14,1,1,grounded+preferred+stable,1.0,10,20,3,140.21,2026-06-13_1202_school_uniforms_ukp_seed42
